Unnamed: 0,recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
100,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_153729,u_1oKWsgSjReSG2TpmFKZhwJSM18F,Denisejane,1,1622717085,0,0,0,5,100,"Have made this again and again over the years. I don&#39;t change anything except I don&#39;t make the full frosting recipe. It is a bit too much.  Great, easy recipe."
101,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_118415,u_1oKVqpa1S73R4rfGzalcGQ3AzHY,blindowl,1,1622716938,0,0,0,5,100,Banana banana banana!!!
102,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_256976,u_1oKW5Bz7x8XFcGdfFTPcRGb5Kwo,dyeide,1,1622717636,0,0,0,5,100,My son loved this treat!  Glad I cut back the icing  sugar to 2c rather than 4c.  Its a keeper for my recipe box.
103,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_360461,u_1oKcHGy73HsP3XWsk5E7Szl3bNy,jln100580,1,1622718139,0,0,0,5,100,very yummy. the frosting is good too but almost too much. i added four large bananas to use them up and it turned out great. very easy recipe.
104,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_218464,u_1oKVaZxnBcU4S23DnH9FwPblr6c,glitterchatter,1,1622717452,0,1,0,5,193,"I&#39;m going to repeat my review of a while ago.  Don&#39;t waste your time measuring the mashed bananas; I&#39;ve found three bananas works every time--and I dump the rest of the ingredients with the mashed bananas and give the beaters a few spins to mix it all together.  Because the &#34;cake&#34; is sweet enough as is, I never add the frosting, and it&#39;s never missed.  This is a no-fail, moist every time, always praised recipe.  A professional wedding cake baker asked me for this recipe because she was going to replace hers for this one.  You will not be disappointed."
105,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_336808,u_1oKVr1KZO6Hglv7pX2kjGZPDfYx,SDawsonH,1,1622717987,0,0,0,5,100,This was easy to pull together on short notice and super-tasty.  A great way to use leftover bananas!
106,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_295240,u_1oKVr1KZO6Hglv7pX2kjGZPDfYx,SDawsonH,1,1622717773,0,0,0,5,100,These turned out great and tasted terrific...such an easy way to use leftover bananas!
107,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_183564,u_1oKVtqcsxmnMDkktuKmFfQX0OWi,TOHccrocker,1,1622717275,0,0,0,5,100,"I love these bars, I could eat the whole pan myself.  They are a nice change from pumpkin bars, but they stay nice and moist and disappear quickly!"
108,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_234797,u_1oKVeA2xmKHELVfKC7ryG3Dhgpt,spahkm,1,1622717497,0,0,0,5,100,LOVE these! So awesome!
109,38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_238659,u_1oKVeN9YNf07RT0P9R63Yu80P5A,JGa2595176,1,1622717533,0,0,0,4,100,"Made a batch and brought to a school function for others to review and enjoy. Well liked, by both kids and adults. A few commented it may be nice to have the addition of toasted nuts or coconut topping. Also, most said it tasted more like cake than a bar. Everyone enjoyed the frosting though...even those who normally said they were not banana bread eaters. Will make again."
